Date,Open,High,Low,Close,Adj Close,Volume,3day_before_change
2020-09-09,11.24,11.6393,11.0901,11.61,11.61,5518586,-
2020-09-08,10.85,11.18,10.72,10.89,10.89,7026300,-
2020-09-04,11.77,11.8,10.635,11.22,11.22,9617900,0.8095238095238096
2020-09-03,12.67,12.972,11.5,11.63,11.63,16398900,0.8803936411809236
2020-09-02,14.14,14.198,12.56,13.24,13.24,16107900,-
2020-09-01,13.31,13.97,13.12,13.86,13.86,13810900,-
2020-08-31,13.01,13.44,12.772,13.21,13.21,8914900,1.0224458204334366
2020-08-28,12.39,12.965,12.32,12.92,12.92,5961600,1.0866274179983177
2020-08-27,12.43,12.53,12.11,12.39,12.39,3463500,1.0438079191238416
2020-08-26,12.0,12.67,12.0,12.42,12.42,4195100,-
2020-08-25,11.82,12.02,11.71,11.89,11.89,2771300,-
2020-08-24,12.11,12.235,11.685,11.87,11.87,3045500,0.9941373534338358
2020-08-21,12.1,12.22,11.735,11.94,11.94,3401400,1.0310880829015543
2020-08-20,11.51,12.33,11.42,12.23,12.23,3968000,1.0746924428822495
2020-08-19,11.62,11.85,11.504,11.63,11.63,2374100,-
2020-08-18,11.38,11.618,11.33,11.58,11.58,1767200,-
2020-08-17,11.32,11.5,11.293,11.38,11.38,1667500,1.0106571936056838
2020-08-14,11.48,11.54,11.206,11.26,11.26,1815700,0.9991126885536824
2020-08-13,11.4,11.78,11.39,11.5,11.5,2322100,1.0204081632653061
2020-08-12,11.36,11.52,11.31,11.39,11.39,2745700,-
2020-08-11,11.25,11.59,11.23,11.27,11.27,2575700,-
2020-08-10,11.22,11.44,10.97,11.27,11.27,3043800,1.0017777777777777
2020-08-07,11.5,11.62,11.095,11.25,11.25,3031600,0.9723422644770959
2020-08-06,11.84,11.85,11.56,11.57,11.57,1971900,1.0052128583840139
2020-08-05,11.66,11.93,11.62,11.86,11.86,2689500,-
2020-08-04,11.41,11.7,11.32,11.57,11.57,1920000,-
2020-08-03,11.25,11.635,11.223,11.51,11.51,3437600,1.0212954747116239
2020-07-31,11.41,11.42,10.99,11.27,11.27,3848500,1.0134892086330936
2020-07-30,11.3,11.43,11.08,11.36,11.36,2919100,0.989547038327526
2020-07-29,11.29,11.54,11.26,11.48,11.48,2558500,-
2020-07-28,11.42,11.46,11.12,11.12,11.12,2713200,-
2020-07-27,11.49,11.49,11.14,11.48,11.48,3212200,1.0079016681299384
2020-07-24,11.36,11.55,11.19,11.39,11.39,4355300,0.9878577623590634
2020-07-23,11.65,11.95,11.372,11.54,11.54,4896300,0.9787955894826124
2020-07-22,11.55,11.88,11.535,11.7,11.7,3629300,-
2020-07-21,11.94,11.99,11.49,11.53,11.53,4318900,-
2020-07-20,11.55,11.815,11.354,11.79,11.79,3262400,1.0207792207792206
2020-07-17,11.54,11.65,11.33,11.55,11.55,2725800,0.9991349480968859
2020-07-16,11.35,11.73,11.245,11.48,11.48,4797700,1.0114537444933922
2020-07-15,11.58,11.63,11.39,11.57,11.57,4085500,-
2020-07-14,11.21,11.61,10.97,11.56,11.56,5627300,-
2020-07-13,12.45,12.56,11.34,11.35,11.35,8332700,0.9153225806451613
2020-07-10,12.24,12.66,12.206,12.4,12.4,5813800,1.0464135021097047
2020-07-09,12.6,12.68,11.912,12.28,12.28,5053200,1.0319327731092436
2020-07-08,11.91,12.52,11.9,12.5,12.5,7885800,-
2020-07-07,11.81,12.32,11.78,11.85,11.85,5019100,-
2020-07-06,12.45,12.53,11.76,11.9,11.9,7576800,-
2020-07-02,12.53,12.74,12.22,12.27,12.27,5367400,0.9467592592592592
2020-07-01,12.7,12.819,12.315,12.38,12.38,5519300,-
2020-06-30,12.87,12.98,12.55,12.72,12.72,8050700,-
2020-06-29,13.5,13.58,12.73,12.96,12.96,7679000,0.9466764061358657
2020-06-26,13.13,13.79,12.835,13.69,13.69,18465400,1.0813586097946286
2020-06-25,12.04,13.15,12.01,13.12,13.12,13429100,1.0379746835443038
2020-06-24,12.56,12.67,11.84,12.03,12.03,7682900,-
2020-06-23,12.7,13.09,12.65,12.66,12.66,5839700,-
2020-06-22,12.86,12.92,12.47,12.64,12.64,6644400,0.9867291178766588
2020-06-19,13.77,13.85,12.785,12.81,12.81,26340600,1.0448613376835236
2020-06-18,12.8,13.93,12.68,13.71,13.71,21562800,1.0778301886792454
2020-06-17,12.41,12.975,12.31,12.64,12.64,8243100,-
2020-06-16,12.82,12.94,11.975,12.26,12.26,12902500,-
2020-06-15,11.3,12.92,11.23,12.72,12.72,17180900,1.0965517241379312
