Date,Open,High,Low,Close,Adj Close,Volume,3day_before_change
2020-09-09,10.15,10.44,9.54,9.785,9.785,3495280,-
2020-09-08,10.02,10.54,9.89,10.0,10.0,3358900,-
2020-09-04,11.1,11.2,9.63,10.42,10.42,6744600,0.6837270341207349
2020-09-03,11.49,12.33,10.81,11.22,11.22,12030600,0.8256070640176602
2020-09-02,16.879998999999998,17.790001,15.25,16.17,16.17,8897000,-
2020-09-01,13.75,15.32,13.69,15.24,15.24,4486700,-
2020-08-31,13.6,13.7,13.33,13.59,13.59,1565600,1.0096582466567607
2020-08-28,13.01,13.48,13.0,13.46,13.46,1280200,1.1445578231292517
2020-08-27,13.22,13.27,12.733,12.98,12.98,1187300,1.1267361111111112
2020-08-26,11.87,13.19,11.87,13.09,13.09,3346000,-
2020-08-25,11.52,11.77,11.37,11.76,11.76,954800,-
2020-08-24,11.74,11.74,11.36,11.52,11.52,1129700,0.993960310612597
2020-08-21,11.75,11.94,11.43,11.59,11.59,2222600,0.9772344013490726
2020-08-20,11.7,12.015,11.6,11.88,11.88,929000,1.0214961306964747
2020-08-19,11.9,11.98,11.6,11.77,11.77,761700,-
2020-08-18,11.75,11.97,11.71,11.86,11.86,660500,-
2020-08-17,11.91,11.97,11.47,11.63,11.63,986200,0.9806070826306915
2020-08-14,11.83,12.12,11.76,11.86,11.86,712800,1.037620297462817
2020-08-13,11.69,12.12,11.69,11.84,11.84,809900,1.025108225108225
2020-08-12,11.56,11.815,11.44,11.66,11.66,776200,-
2020-08-11,11.61,11.7,11.405,11.43,11.43,959200,-
2020-08-10,11.71,11.788,11.28,11.55,11.55,1027000,0.9846547314578006
2020-08-07,12.05,12.15,11.38,11.73,11.73,939900,0.9882055602358889
2020-08-06,12.48,12.59,11.99,12.14,12.14,733400,1.027072758037225
2020-08-05,11.96,12.47,11.94,12.44,12.44,1569300,-
2020-08-04,11.71,11.91,11.51,11.87,11.87,694700,-
2020-08-03,11.67,11.969,11.55,11.82,11.82,955600,1.0154639175257731
2020-07-31,11.53,11.655,11.15,11.64,11.64,907300,1.0228471001757469
2020-07-30,11.4,11.465,11.065,11.37,11.37,802300,0.9684838160136285
2020-07-29,11.41,11.593,11.35,11.56,11.56,704800,-
2020-07-28,11.67,11.708,11.37,11.38,11.38,620600,-
2020-07-27,11.56,11.78,11.48,11.74,11.74,497300,1.0190972222222223
2020-07-24,11.77,11.829,11.36,11.52,11.52,726900,0.9664429530201342
2020-07-23,11.85,12.05,11.67,11.87,11.87,1164600,0.976954732510288
2020-07-22,11.92,12.1,11.73,11.88,11.88,661300,-
2020-07-21,12.41,12.41,11.86,11.92,11.92,841000,-
2020-07-20,11.81,12.27,11.73,12.15,12.15,1106900,1.0287891617273497
2020-07-17,11.79,11.93,11.625,11.81,11.81,864000,1.0137339055793992
2020-07-16,11.88,11.99,11.565,11.81,11.81,1022100,1.0128644939965694
2020-07-15,11.8,12.11,11.79,12.04,12.04,1190700,-
2020-07-14,11.53,11.66,11.055,11.65,11.65,1268300,-
2020-07-13,12.5,12.53,11.63,11.66,11.66,1690100,0.9380530973451328
2020-07-10,12.8,12.8,12.39,12.43,12.43,992600,0.9841646872525731
2020-07-09,12.78,12.94,12.61,12.84,12.84,1298000,1.0086410054988217
2020-07-08,12.75,12.845,12.409,12.68,12.68,1452500,-
